Title_Author,ISBN
"('Bodies Electric', 'Colin Harrison')",0312979665
"('Bodies in Motion and at Rest: On Metaphor and Mortality', 'Thomas Lynch')",0393049272
"('Bodies of Evidence', 'Brian Innes')",1856056236
"(""Bodies of Evidence: The True Story of Judias Buenoano Florida's Serial Murderess"", 'Chris Anderson')",0818405422
"('Bodily Harm', 'Margaret Eleanor Atwood')",0553232894
"('Body Count', 'William X. Kienzle')",0345377672
"('Body Reflexology: Healing at Your Fingertips', 'Mildred Carter')",0132997282
"('Body of Evidence', 'Patricia Cornwell')",0671038567
"('Body of Knowledge', 'Carol Dawson')",0671535722
"('Body of Lies', 'IRIS JOHANSEN')",0553582143
"('Body of a Girl', 'Leah Stewart')",0670891649
"('Bodyguard', 'SUZANNE BROCKMANN')",044900256X
"('Bogeys and Bandits: The Making of a Fighter Pilot', 'Robert L. Gandt')",0140264124
"(""Bohannon's Country: Mystery Stories"", 'Joseph Hansen')",0140233555
"('Bold Breathless Love', 'Valerie Sherwood')",0446342122
"('Bold Land, Bold Love', 'Connie Mason')",0843927550
"('Boldness Be My Friend', 'Richard Pape')",0312905157
"('Bolt', 'Dick Francis')",0449212394
"('Bomb the Suburbs', 'William Upski Wimsatt')",1887128964
"('Bombardiers', 'Po Bronson')",0140254501
"('Bomber', 'Len Deighton')",0586045449
"(""Bonaparte's Invaders"", 'Richard Howard')",0751518123
"('Bone Cold', 'Erica Spindler')",1551667940
"('Bone Deep', 'David Wiltse')",0425153401
"('Bone House', 'Betsy Tobin')",0743406168
"('Bone People', 'Keri Hulme')",0340370238
"('Bone Walker (Anasazi Mystery)', ""Kathleen O'Neal Gear"")",0812589823
"('Bonecrack', 'Dick Francis')",0449221156
"('Bones of Coral', 'James W. Hall')",044021453X
"('Bones of the Earth', 'Michael Swanwick')",0380812894
"('Bonfire of the Vanities', 'Tom Wolfe')",0330305735
"('Bongwater', 'Michael Hornburg')",0704302527
"('Bonjour Tristesse', 'Francoise Sagan')",0066211697
"('Bonkers: Why Women Get Stressed Out and What They Can Do About It', 'Kevin Leman')",0800786122
"(""Bonny's Big Day"", 'James Herriot')",031206571X
"('Book', 'Whoopi Goldberg')",068815252X
"('Book Finds: How to Find, Buy, and Sell Used and Rare Books', 'Ian C. Ellis')",0399519785
"('Book of Dreams', 'Jack Kerouac')",0872860272
"('Book of Enchantments', 'Patricia C. Wrede')",0590972189
"('Book of Hope', 'Helen A. Derosis')",0553202200
"('Book of Laughter and Forgetting', 'Milan Kundera')",0140064168
"('Book of Merlyn', 'T. H. White')",0425038262
"('Book of Three', 'Lloyd Alexander')",0440907020
"('Book of the Law', 'Aleister Crowley')",0877283346
"('Book: A Novel', 'Robert Grudin')",0140231137
"('Booked to Die (Cliff Janeway Novels (Paperback))', 'John Dunning')",0380718839
"('Bookends', 'Liz Curtis Higgs')",1576736113
"('Boomerang Joy', 'Barbara Johnson')",0310220068
"(""Boone's Lick : A Novel"", 'Larry McMurtry')",0671040588
"('Bootleg', 'Damon Wayans')",006093185X
"(""Bootlegger's Daughter"", 'Margaret Maron')",0446403237
"('Boots of Leather, Slippers of Gold: The History of a Lesbian Community', 'Elizabeth Lapovsky Kennedy')",0140235507
"('Border Bride', 'Amanda Scott')",044020724X
"('Border Music', 'Robert James Waller')",0446518581
"('Borderline (Jack McMorrow Mystery)', 'Gerry Boyle')",0425169642
"('Bordersnakes', 'James Crumley')",0446604488
"('Bored of the Rings', 'Harvard Lampoon')",0451070542
"('Born Blue', 'Han Nolan')",0152019162
"('Born Free: A Lioness of Two Worlds', 'Joy Adamson')",0375714383
"('Born Guilty', 'Reginald Hill')",0373262264
"('Born In Sin', 'Evelyn Coleman')",0689838336
"('Born of a Woman', 'John Shelby Spong')",0060675233
"('Born of the Sun', 'Joan Wolf')",0453006663
"('Borrowed Finery: A Memoir', 'Paula Fox')",0805071849
"('Borrowed Time: An AIDS Memoir', 'Paul Monette')",0380707799
"('Borrower of the Night', 'Elizabeth Peters')",0812507525
"('Boss: Richard J. Daley of Chicago', 'Mike Royko')",0452261678
"('Boston Jane Series: An Adventure', 'Jennifer L. Holm')",006028739X
"('Bots: The Origin of New Species', 'Andrew Leonard')",1888869054
"('Bound Feet &amp; Western Dress', 'Pang-Mei Natasha Chang')",0385479646
"(""Bound by Honor: A Mafioso's Story"", 'Bill Bonanno')",0312971478
"('Bound for Oregon', 'Jean Van Leeuwen')",0803715277
"('Bourne Identity', 'Robert Ludlum')",055314300X
"('Bowdrie', ""Louis L'Amour"")",0553233688
"('Bowling (Physical education activities series)', 'Joan L Martin')",0697070603
"('Bowling Alone : The Collapse and Revival of American Community', 'Robert D. Putnam')",0743203046
"('Box Nine', ""Jack O'Connell"")",0446401005
"('Box Socials', 'W. P. Kinsella')",0345377494
"('Boy', 'Roald Dahl')",014131141X
"('Boy Meets Girl', 'Meg Cabot')",0060085452
"('Boy in the Water', 'Stephen Dobyns')",0312975228
"('Boy of the Painted Cave', 'Justin Denzel')",039921559X
"(""Boy's Life"", 'Robert McCammon')",0671743058
"('Boy-Crazy Stacey (Baby-Sitters Club, 8)', 'Ann M. Martin')",0590410407
"('Boy: Tales of Childhood', 'Roald Dahl')",0141303050
"('Boyfriend Material', 'Jon Jeffrey')",0758201036
"('Boys Against Girls', 'Phyllis Reynolds Naylor')",0440411238
"('Boys Against Girls (Sweet Valley Twins (Paperback))', 'Francine Pascal')",0553155717
"('Boys Will Be', 'Bruce Brooks')",0805024204
"('Boys and Girls Together', 'William Goldman')",0345439732
"('Braided Lives', 'Marge Piercy')",0449213005
"('Brain', 'Robin Cook')",0451157974
"('Brain Child', 'John Saul')",0553249754
"('Brain Dead', 'Eileen Dreyer')",0061010952
"('Brain Droppings', 'George Carlin')",0786883219
"('Brain Storm', 'Richard Dooling')",0679452397
"('Brain: The Last Frontier', 'Richard M. Restak')",0446322822
"('Brainrose', 'Nancy Kress')",068809452X
"('Brat Farrar', 'Josephine Tey')",0684803852
"('Brave New World', 'Aldous Huxley')",0060929871
"('Braveheart', 'Randall Wallace')",0671522817
"('Bravo Two Zero', 'Andy McNab')",0440218802
"('Brazen Virtue', 'Nora Roberts')",0553272837
"('Brazil', 'Errol Lincoln Uys')",0671460285
"('Brazil', 'John Updike')",0449223132
"('Brazos', 'Cameron Judd')",0553565508
"('Brazzaville Beach', 'William Boyd')",0380780496
"('Breach of Duty: A J.P. Beaumont Mystery', 'J.A. Jance')",038071843X
"('Breach of Promise', ""Perri O'Shaughnessy"")",044022473X
"('Bread Upon the Waters', 'Irwin Shaw')",0440108454
"('Bread and Jam for Frances', 'Russell Hoban')",0064430960
"('Break and Enter', 'Colin Harrison')",0380715260
"('Break in', 'Dick Francis')",0449207552
"(""Breakdown: How America's Intelligence Failures Led to September 11"", 'Bill Gertz')",0452284279
"(""Breakfast at Tiffany's"", 'Truman Capote')",0451166515
"('Breakfast at Tiffanys', 'Truman Capote')",0451156447
"('Breakfast at Wimbledon', 'Jack M. Bickham')",0312851448
"('Breakfast of Champions', 'Kurt Vonnegut')",0440131480
"('Breakfast with Scot', 'Michael Downing')",1582431264
"('Breakheart Hill', 'Thomas H. Cook')",0553571923
"('Breakheart Pass', 'Alistair MacLean')",0449202402
"('Breaking Down the Wall of Silence: The Liberating Experience of Facing Painful Truth', 'Alice Miller')",0525933573
"('Breaking Free from Compulsive Eating', 'Geneen Roth')",0451168348
"('Breaking Point', 'Alex Flinn')",0066238471
"('Breaking Point', 'Martina Navratilova')",0345388682
"('Breaking the Silence', 'Mariette Hartley')",0451171624
"('Breaking the Surface', 'Greg Louganis')",0679437037
"('Breaking the Trust', 'Lucy Clare')",0525947108
"('Breakthrough', 'R. J. Pineiro')",0812543904
"('Breakthrough: The Next Step', 'Whitley Strieber')",0060176539
"('Breath, Eyes, Memory', 'Edwidge Danticat')",037570504X
"('Breathing Lessons', 'Anne Tyler')",042511774X
"('Breathing Room', 'Patricia Elam')",0671028421
"('Breathing Underwater', 'Alex Flinn')",0064472574
"('Bred to Win', 'William Kinsolving')",0385261233
"('Breed to Come', 'Andre Norton')",0441078982
"('Brett: His Own Story', 'Brett Hull')",1572435968
"(""Brewing the World's Great Beers: A Step-By-Step Guide"", 'David G. Miller')",0882667750
"('Brian Piccolo: A Short Season', 'Jeannie Morris')",0440108896
"(""Brian's Winter"", 'GARY PAULSEN')",0440227194
"('Briar Rose', 'Jane Yolen')",0812558626
"('Briarpatch', 'Ross Thomas')",0312290314
"('Bridal Bargains: Secrets to Throwing a Fantastic Wedding on a Realistic Budget (Bridal Bargains: Secrets to Throwing a Fantastic Wedding on a Realistic Budget)', 'Denise Fields')",0962655678
"('Bride Fit for a Prince  (High Society Brides / Twin Brides)', 'Rebecca Winters')",0373037392
"('Bride of Desire', 'Theresa Scott')",0843930055
"('Bride of Pendorric', 'Holt')",044920233X
"(""Bride's Guide to Emotional Survival"", 'Rita Bigel-Casher')",0761502963
"('Brideshead Revisited', 'Evelyn Waugh')",0316926345
"('Bridesmaid', 'Ruth Rendell')",0445409126
"(""Bridey's Mountain"", 'Yvonne Adamson')",0440214459
"('Bridge to Terabithia', 'Katherine Paterson')",0064401847
"(""Bridget Jones's Diary"", 'Helen Fielding')",014028009X
"('Bridget Jones. Am Rande des Wahnsinns.', 'Helen Fielding')",3442452643
"('Bridget Jones: The Edge of Reason', 'Helen Fielding')",0140298479
"('Briefing for a Descent into Hell', 'DORIS LESSING')",1400077265
"('Bright Angel Time', 'Martha McPhee')",0679450084
"('Bright Flows the River', 'Taylor Caldwell')",0449241491
"('Bright Orange for the Shroud', 'John D. MacDonald')",0449224449
"('Bright River Trilogy', 'Annie Greene')",0345329023
"('Bright Shark', 'Robert Ballard')",044021405X
"('Bright Star', 'Harold Coyle')",0671685430
"('Brighten the Corner Where You Are', 'Fred Chappell')",0312032978
"('Brightness Falls', 'Jay McInerney')",0679402195
"('Brighton Beach Memoirs', 'Neil Simon')",0451163443
"('Brilliant', 'Marne Davis Kellogg')",0312991436
"('Bring Me a Unicorn: Diaries and Letters of Anne Morrow Lindbergh, 1922-1928', 'Anne Morrow Lindbergh')",0156141647
"('Bring Me the Head of Prince Charming', 'Roger Zelazny')",0553299352
"('Broadway Bound', 'Neil Simon')",0394563956
"(""Broca's Brain: Reflections on the Romance of Science"", 'Carl Sagan')",0394501691
"('Broke Heart Blues', 'Joyce Carol Oates')",0452280346
"('Broken Angels (Gollancz SF S.)', 'Richard Morgan')",0575073241
"('Broken Bridge', 'Lynne Reid Banks')",0688135951
"('Broken Dishes (Fowler, Earlene)', 'Earlene Fowler')",042519597X
"('Broken Vows', 'Shirl Henke')",0843944587
"('Brokenclaw', 'John E. Gardner')",0425127214
"('Bronze Bow', 'Elizabeth George Speare')",0395137195
"('Bronze Mystique', 'Barbara Delinsky')",0373832524
"('Brothel: Mustang Ranch and Its Women', 'Alexa Albert')",0449006581
"('Brotherhood of War 02: The Captains (Brotherhood of War)', 'W. E. B. Griffin')",0515087661
"('Brotherhood of War 03: The Majors, the', 'W. E. B. Griffin')",0515087262
"('Brotherhood of War 04: The Colonels', 'W. E. B. Griffin')",0515087254
"('Brotherhood of the Wolf (The Runelords, Book Two)', 'David Farland')",0812570693
"('Brothers', 'William Goldman')",0446346802
"('Brothers Karamazov', 'Fyodor M. Dostoevsky')",0451520904
"('Brothers and Sisters', 'Bebe Moore Campbell')",0425149404
"('Brothers in Blood', 'Clark Howard')",0312900686
"('Brown Bear, Brown Bear, What Do You See?', 'Bill Martin Jr.')",0805047905
"('Brown Girl, Brownstones', 'Paule Marshall')",0912670967
"('Brown-Eyed Girl', 'Virginia Swift')",006019555X
"('Brown: The Last Discovery of America', 'Richard Rodriguez')",0670030430
"('Brownie Girl Scout Handbook', 'Girl Scouts of the United States of America')",0884412792
"(""Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture"", 'Ross King')",0142000159
"('Brunswick Gardens', 'Anne Perry')",0449908453
"('Brush Up Your Shakespeare!', 'Michael Macrone')",006272018X
"('Brute Orbits', 'George Zebrowski')",0061050261
"('Bubbles Ablaze (Bubbles Books)', 'Sarah Strohmeyer')",0451212177
"('Bubbles Unbound', 'Sarah Strohmeyer')",0451205448
"('Buccaneers', 'Edith Wharton')",1857021614
"('Buck Passes Flynn', 'Gregory McDonald')",034531610X
"('Bucket Nut', 'Liza Cody')",0446404594
"('Buddha Kiss', 'Peter Tasker')",0385485522
"('Buddha of Suburbia', 'Hanif Kureishi')",0571142745
"('Buddhism Without Beliefs: A Contemporary Guide to Awakening', 'Stephen Batchelor')",1573220582
"('Buddhism: A Very Short Introduction (Very Short Introductions)', 'Damien Keown')",0192853295
"('Buddies', 'Barbara Park')",0380699923
"('Buffalo Afternoon', 'Susan Fromberg Schaeffer')",0804105804
"('Buffalo Girls', 'Larry McMurtry')",067168518X
"('Buffalo Wagons', 'Elmer Kelton')",0812551206
"('Buffett: The Making of an American Capitalist', 'Roger Lowenstein')",0385484917
"('Bug Park', 'James P. Hogan')",0671877739
"('Bulbs: Four Seasons of Beautiful Blooms', 'Lewis Hill')",0882668773
"('Bull Run', 'Paul Fleischman')",0590474081
"('Bullet Park', 'Cheever')",034527301X
"('Bully for Brontosaurus: Reflections in Natural History', 'Stephen Jay Gould')",039330857X
"('Bump and Run', 'Mike Lupica')",0425181480
"('Bunny Trouble', 'Hans Wilhelm')",0590336010
"('Burger Wuss', 'M. T. Anderson')",0763615676
"(""Burglars Can't Be Choosers"", 'Lawrence Block')",0060582553
"('Buried Dreams: Inside the Mind of a Serial Killer', 'Tim Cahill')",0553258362
"('Buried Evidence', 'Nancy Taylor Rosenberg')",0786889837
"('Buried at Sea', 'Paul Garrison')",0061031038
"('Burn Factor', 'Kyle Mills')",0061098035
"('Burning Bright', 'Melissa Scott')",0812521757
"('Burning Down the House', 'Merry McInerney')",0312856989
"('Burning For Revenge', 'John Marsden')",0330360639
"('Burning Girl', 'Ben Neihart')",0688156916
"('Burnout', 'Jeannine Kadow')",0451198239
"('Burnt Sienna', 'David Morrell')",0446609609
"('Burr', 'Gore Vidal')",0345339215
"(""Bury Me With Soldiers: One Grunt's Honest Story About Vietnam"", 'C. W. Standiford')",1403395241
"('Bury My Heart at Wounded Knee: An Indian History of the American West', 'Dee Alexander Brown')",0805066691
"('Bush at War', 'Bob Woodward')",0743204735
"('Business @ the Speed of Thought : Using a Digital Nervous System', 'Bill Gates')",0446525685
"('Busted Scotch: Selected Stories', 'James Kelman')",0393317773
"(""Buster Midnight's Cafe"", 'Sandra Dallas')",0312180624
"('Butterfly', 'Kathryn Harvey')",0380708353
"('Butterscotch Blues', 'Margaret Johnson-Hodge')",0312976305
"('Buxton Spice', 'Oonya Kempadoo')",0525945067
"('Buying Time', 'Joe Haldeman')",0380704390
"('Buzz Cut', 'James W. Hall')",0440217822
"('By Arrangement', 'MADELINE HUNTER')",0553582224
"(""By Dawn's Early Light: A Novel"", 'Philip Shelby')",0671013947
"('By Reason of Insanity', 'Shane Stevens')",0881846090
"(""By the Light of My Father's Smile"", 'Alice Walker')",0375501525
"('By the Light of My Fathers Smile', 'Alice Walker')",0965664791
"('By the Light of the Moon', 'DEAN KOONTZ')",0553582763
"('By the Pricking of My Thumbs', 'Agatha Christie')",1572702338
"('By the River Piedra I Sat Down and Wept', 'Paulo Coelho')",0060977264
"('By the Shores of Silver Lake (Little House)', 'Laura Ingalls Wilder')",0064400050
"('Bygones', 'Lavyrle Spencer')",0399137149
"('C.B. Greenfield: A Little Madness', 'Lucille Kallen')",039453090X
"('CADILLAC JACK', 'Larry McMurtry')",0671660179
"('CAIN', 'James Byron Huggins')",067100378X
"('CALL IT COURAGE', 'Armstrong Sperry')",0689713916
"('CARELESS WHISPERS', 'Carlton Stowers')",0671646060
"('CAT AMONG PIGEONS', 'Agatha Christie')",0671557009
"('CATCH ME YOU CAN', 'Frank W. Abagnale')",0671462873
"('CHESS IN A NUTSHEL', 'Fred Reinfeld')",0671691775
"('CINDERELLA COMPLEX', 'Colette Dowling')",0671733346
"('CLOCKS', 'Agatha Christie')",0671472968
"('COLONY    BEN BOVA', 'Ben Bova')",067181916X
"('COMEDY OF ERRORS', 'William Shakespeare')",0671722573
"('COMMANDERS', 'Bob Woodward')",0671413678
"('COMPETITIVE STRATEGY : TECHNIQUES FOR ANALYZING INDUSTRIES AND COMPETITORS', 'Michael E. Porter')",0029253608
"('COPS', 'Mark Baker')",0671614460
"('COUNTERFEIT LADY', 'Jude Deveraux')",0671020110
"('CRAZY ENGLISH', 'Richard Lederer')",0671023233
"('CROOKED HOUSE', 'Agatha Christie')",0671543210
"('Cabal', 'Clive Barker')",0743417321
"('Cactus Tracks &amp; Cowboy Philosophy', 'Baxter Black')",0140276831
"('Caddie Woodlawn (Fiction)', 'Carol Ryrie Brink')",0689713703
"('Cadillac Jack', 'Larry McMurtry')",0671637207
"('Cakewalk', 'Lee Smith')",0345339509
"('Calculating God', 'Robert J. Sawyer')",0812580354
"('Calculus: Early Transcendental Functions', 'Ron Larson')",0395933218
"('Calder Born, Calder Bred', 'Janet Dailey')",0671040499
"(""Caliban's Hour"", 'Tad Williams')",0061052043
"('California Angel', 'Nancy Taylor Rosenberg')",0451186281
"('California Fire and Life', 'Don Winslow')",0804116113
"('California Gold', 'John Jakes')",0345369432
"('California Gothic', 'Dennis Etchison')",0440217261
"('California Rush: A Novel', 'Sherwood Kiraly')",0425159795
"(""California's over"", 'Louis B. Jones')",0679423346
"('Caligula: The Corruption of Power', 'Anthony A. Barrett')",0300046537
"('Call Down the Stars (Harrison, Sue. Storyteller Trilogy, Bk. 3.)', 'Sue Harrison')",0380973723
"('Call Her Miss Ross: The Unauthorized Biography of Diana Ross', 'J. Randy Taraborrelli')",1559720069
"('Call It Sleep', 'Henry Roth')",0374522928
"('Call Me Anna: The Autobiography of Patty Duke', 'Patty Duke')",0553272055
"('Call Me Crazy : A Memoir (Lisa Drew Books (Hardcover))', 'Anne Heche')",074321689X
"('Call of Cthulhu', 'Sandy Petersen')",1568821484
"('Call of the Wild', 'Jack London')",1559029838
"('Call to Duty', 'Richard Herman')",0380718316
"(""Callahan's Cross Salon"", 'Spider Robinson')",0441090370
"(""Callahan's Crosstime Saloon"", 'Spider Robinson')",0812572270
"(""Callahan's Lady"", 'Spider Robinson')",0671318314
"(""Callahan's Secret"", 'Spider Robinson')",0812572297
"('Callander Square', 'Anne Perry')",0449209997
"('Calypso Magic', 'Catherine Coulter')",0451408772
"('Camber of Culdi', 'Kurtz')",034528559X
"('Camelot Caper', 'Elizabeth Peters')",0812512413
"('Cameo Lake', 'Susan Wilson')",074341277X
"('Camp Concentration', 'Thomas M. Disch')",0375705457
"('Camp Murphy', ""Colleen O'Shaughnessy McKenna"")",0590458078
"('Can I Have a Cookie?', 'Bil Keane')",0449129721
"('Can Man Live Without God', 'Ravi Zacharias')",0849939437
"('Can You Sue Your Parents for Malpractice?', 'Paula Danziger')",0698116887
"(""Can't Buy Me Love"", 'Chris Kenry')",1575668459
"(""Canada: A People's History"", 'Don Gillmor Pierre Turgeon')",0771033249
"('Canadian Poetry (New Press Canadian Classics)', 'Jack David')",0773674187
"('Canal Dreams', 'Iain Banks')",034910171X
"('Canapes for the Kitties', 'Marian Babson')",0312968973
"('Cancer Schmancer', 'Fran Drescher')",0446530190
"('Candide', 'Voltaire')",0553210289
"('Candide (Penguin Popular Classics)', 'Voltaire')",0140622632
"('Candle', 'John Barnes')",0812589688
"('Candle in the Window', 'Christina Dodd')",006108560X
"('Cane', 'Jean Toomer')",0871401045
"('Cane River', 'Lalita Tademy')",0446530522
"('Cannabis Culture', 'Patrick Matthews')",0747566143
"('Cannery Row', 'John Steinbeck')",0140177388
"('Cannibals and Kings: The Origins of Cultures', 'Marvin Harris')",0394727002
"('Canterbury Beach', 'Anne Simpson')",0670894842
"('Canterbury Tales', 'Geoffrey Chaucer')",0451524004
"('Canticle for Leibowitz', 'Walter Miller')",0553245678
"(""Cantor's Dilemma"", 'Carl Djerassi')",0140143599
"('Cantora: A Novel', 'Sylvia Lopez-Medina')",0345381661
"('Canyons', 'P. D. Cacek')",0812545346
"('Cape Cod', 'William Martin')",0446363170
"('Cape Light', 'Thomas Kinkade')",0425183378
"('Caper', 'Lawrence Sanders')",042510477X
"('Capital Crimes', 'Lawrence Sanders')",042512164X
"('Capital Crimes', 'Stuart Woods')",0451211561
"('Capital Offense', 'Kathleen Antrim')",0743486943
"('Capitalism and Freedom', 'Milton Friedman')",0226264017
"('Capitol Offense', 'Barbara Mikulski')",0451190327
"('Capitol Offense', 'Tony Gibbs')",0446401099
"('Capitol Secrets', 'Maureen Dean')",051510924X
"('Capote: A Biography', 'Gerald Clarke')",0345360788
"('Capri File', 'Amanda Prantera')",0747557918
"('Caps for Sale: A Tale of a Peddler, Some Monkeys and Their Monkey Business', 'Esphyr Slobodkina')",020109147X
"('Captain Saturday: A Novel', 'Robert Inman')",0316415022
"('Captain Trips: A Biography of Jerry Garcia', 'Sandy Troy')",1560250909
"('Captain Underpants and the Invasion of the Incredibly Naughty Cafeteria Ladies from Outer Space', 'Dav Pilkey')",0439049962
"('Captains Courageous', 'Rudyard Kipling')",0553211900
"('Captive Splendors', 'Fern Michaels')",0345316487
"('Caramelo', 'Sandra Cisneros')",0679435549
"('Caravan', 'Dorothy Gilman')",044922175X
"('Caravan to Vaccares', 'Alistair MacLean')",0449207307
"('Cardinal Rules', 'Barbara Delinsky')",1551660687
"('Cardinal Sins', 'Andrew M. Greeley')",0446909130
"('Career Girls', 'Louise Bagshawe')",0752801686
"('Caress and Conquer', 'Connie Mason')",0843924012
"('Caretakers', 'Tabitha King')",0451131568
"('Caribbean', 'James A. Michener')",0449217493
"('Caring and Sharing: Becoming a Peer Facilitator', 'Robert D. Myrick')",093279601X
"('Carl Sagan: A Life in the Cosmos', 'William Poundstone')",0805057676
"(""Carl's Christmas (Carl)"", 'Alexandra Day')",0374311145
"('Carmilla', 'Joseph Sheridan Le Fanu')",1843500728
"('Carnal Innocence', 'Nora Roberts')",0553295977
"('Carol', 'Patricia Highsmith')",8433914758
"('Carolina Courage (The Holts : An American Dynasty, Vol. 3)', 'Dana Fuller Ross')",0553287567
"('Carolina Moon', 'Nora Roberts')",0515130389
"('Caroline Zucker and the Birthday Disaster (Caroline Zucker Series)', 'Jan Bradford')",0816720215
"('Carpe Jugulum (Discworld Novels (Paperback))', 'Terry Pratchett')",0061020397
"('Carpool', 'Mary Cahill')",0679404775
"('Carrie', 'Stephen King')",0671039725
"('Carriers', 'Patrick Lynch')",0425154882
"('Carry Me Across the Water', 'Ethan Canin')",037575993X
"('Carry Me Home', 'John M. Del Vecchio')",0553072242
"('Carry Me Like Water: A Novel', 'Benjamin Alire Saenz')",0786861355
"('Carry On, Mr. Bowditch', 'Jean Lee Latham')",0395137136
"('Cart and Cwidder (Dalemark Quartet, Vol. 1)', 'Diana Wynne Jones')",0064473139
"('Carter Beats the Devil', 'Glen Gold')",0786886323
"('Carve the Sky', 'Alexander Jablokov')",0688103243
"('Cary Grant: The Lonely Heart', 'Charles Higham')",0151157871
"('Case Closed: Lee Harvey Oswald and the Assassination of JFK', 'Gerald Posner')",0679418253
"('Case of Lucy Bending', 'Lawrence Sanders')",0425060772
"('Case of the Missing Bronte', 'Robert Barnard')",0440111080
"('Cash: The Autobiography', 'Johnny Cash')",0061013579
"('Cashelmara', 'Susan Howatch')",0449206238
"('Cashing in at the Checkout', 'Susan J. Samtur')",0448157047
"('Cashmere', 'Nicola Thorne')",0385176449
"('Cassell Dictionary of Insulting Quotations', 'Jonathon Green')",0304349267
"('Castaway', 'Lucy Irvine')",0394535421
"('Castaways of the Flying Dutchman', 'Brian Jacques')",044100914X
"('Casting the First Stone', 'Kimberla Lawson Roby')",1575664895
"('Castle', 'David Macaulay')",0395329205
"('Castle Malindine', 'Hilary Ford')",0060113146
"('Castle Roogna', 'Piers Anthony')",0345279255
"('Castle Roogna #03', 'Piers Anthony')",0345302834
"('Castle of Wizardry (The Belgariad, Book 4)', 'David Eddings')",0345335708
"('Castles in the Air', 'Christina Dodd')",0061080349
"('Castleview', 'Gene Wolfe')",0312850085
"('Casual Rex: A Novel', 'Eric Garcia')",0679463070
"('Cat Ate My Gymsuit', 'Paula Danziger')",0440916127
"('Cat Chaser', 'Elmore Leonard')",0380646420
"('Cat House', 'Michael Peak')",0451163036
"('Cat Tales: Classic Stories from Favorite Writers', 'Robin Upward')",0670826928
"('Cat and Mouse', 'Gunter Grass')",0156155516
"('Cat on a Hot Tin Roof', 'Tennessee Williams')",0451171128
"('Cat people (A Dolphin book)', 'Bill Hayward')",0385143133
"(""Cat's Cradle"", 'Kurt Vonnegut')",038533348X
"(""Cat's Eye"", 'Margaret Atwood')",0385491026
"('Catalyst', 'Laurie Halse Anderson')",0670035661
"('Catalyst', 'Philip Cornford')",055307122X
"('Catapult: Harry and I Build a Siege Weapon', 'Jim Paul')",0394585070
"('Catch 22', 'Joseph Heller')",0684833395
"('Catch Your Breath', 'Jessica Auerbach')",0449150437
"('Catch a Falling Spy', 'Len Deighton')",0345335937
"('Catch a Fire: The Life of Bob Marley', 'Timothy White')",0805011528
"('Catcher in the Wry', 'Bob Uecker')",0515090298
"('Catching Midnight', 'Emma Holly')",0515135305
"('Catering to Nobody', 'Diane Mott Davidson')",044922046X
"('Catfantastic', 'Andre Norton')",0886773555
"('Catherwood', 'Marly Youmans')",0374119724
"(""Catholic Children's Treasure Box (Catholic Children's Treasure Box)"", 'M. Juliana')",0895555514
"(""Catilina's Riddle"", 'Steven Saylor')",080411269X
"('Catlore', 'Desmond Morris')",0517880571
"('Catmas Carols', 'Laurie Loughlin')",081180237X
"('Catwatching', 'Desmond Morris')",0517880539
"('Caucasia', 'Danzy Senna')",1573227161
"('Cauldron', 'Larry Bond')",0446600261
"('Cause Celeb', 'Helen Fielding')",0670894508
"('Cause For Alarm', 'Erica Spindler')",1551664976
"('Cause of Death', 'Patricia Daniels Cornwell')",0425158616
"('Cave Canem. Ein Felidae- Roman.', 'Akif Pirincci')",344244991X
"('Cavedweller', 'Dorothy Allison')",0525941673
"('Caverns of Socrates', 'Dennis L. McKiernan')",0451454677
"('Caves of Steel', 'Isaac Asimov')",0345313895
"('Celebration', 'Fern Michaels')",0821764527
"(""Celebration, U.S.A.: Living in Disney's Brave New Town"", 'Douglas Frantz')",0805055606
"('Celebrity', 'Thomas Thompson')",0446302384
"('Celeste (Gemini)', 'V.C. Andrews')",0743428625
"('Celestial Navigation', 'Anne Tyler')",0425098400
"('Celia, A Slave', 'Melton A. Mclaurin')",0380719355
"('Celine Dion : My Story, My Dream', 'Celine Dion')",0380819058
"('Celtic Cross-Stitch', 'Mike Vickery')",0806913827
"('Celtic Fairy Tales', 'Joseph Jacobs')",1859580238
"('Celtic Needlepoint', 'Alice Starmore')",1570760063
"('Cemetery of Angels', 'Noel Hynd')",0786002611
"('Centaur', 'John Updike')",0449215229
"('Centaur Aisle', 'Piers Anthony')",0345297709
"('Centennial', 'James A. Michener')",0449214192
"('Century', 'Fred Mustard Stewart')",0688003982
"('Ceremony of the Innocent', 'Taylor Caldwell')",038507042X
"('Cereus Blooms at Night', 'Shani Mootoo')",0802116337
"('Certain Prey', 'John Sandford')",0425174271
"('Cha Cha Cha', 'Jane Heller')",0758203055
"('Chain of Evidence', 'Ridley Pearson')",078688908X
"('Chains of Command', 'Dale Brown')",0425142078
"('Chains of Gold', 'Nancy Springer')",0812554949
"('Chameleon', 'Shirley Kennett')",1575663473
"('Chameleon', 'William Diehl')",0345294459
"('Chameleon', 'William X. Kienzle')",0345366212
"('Champagne', 'Nicola Thorne')",0593013719
"('Chance', 'Robert B. Parker')",0425157474
"('Chance Of A Lifetime', 'Jayne Ann Krentz')",0373252684
